,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,threshold,adj_p_signi,thr_signi
RPS6,5.43391029115217e-142,0.681144359967895,0.999,0.994,7.45206457328609e-138,0,RPS6,Up,Highly,Up_Highly
RPL32,5.6452117708554e-138,0.626129328636393,0.999,0.995,7.74184342255109e-134,0,RPL32,Up,Highly,Up_Highly
RPS12,5.61596817665437e-137,0.715934119808395,1,0.99,7.70173875746381e-133,0,RPS12,Up,Highly,Up_Highly
RPS27,1.90318368700192e-131,0.695200831355963,0.999,0.992,2.61002610835443e-127,0,RPS27,Up,Highly,Up_Highly
RPS25,2.35589221680243e-127,0.764952979730437,0.997,0.973,3.23087058612285e-123,0,RPS25,Up,Highly,Up_Highly
CYBA,1.0663461513357e-124,-1.59410522537689,0.652,0.91,1.46238711194177e-120,0,CYBA,Down,Highly,Down_Highly
RPL31,3.96134257805698e-121,0.751128579695146,0.996,0.963,5.43258521154734e-117,0,RPL31,Up,Highly,Up_Highly
RPS14,2.91086217777562e-120,0.605083008933788,0.999,0.995,3.99195639060148e-116,0,RPS14,Up,Highly,Up_Highly
CD74,5.09668244503226e-117,-2.75054994545556,0.675,0.9,6.98959030511724e-113,0,CD74,Down,Highly,Down_Highly
HLA-DRB1,3.84239953004006e-114,-3.09950014254898,0.093,0.584,5.26946671549693e-110,0,HLA-DRB1,Down,Highly,Down_Highly
RPL9,1.73754630422221e-113,0.726513616400806,0.996,0.969,2.38287100161034e-109,0,RPL9,Up,Highly,Up_Highly
RPS3,4.37986002005615e-110,0.589601982220922,0.999,0.993,6.006540031505e-106,0,RPS3,Up,Highly,Up_Highly
RPL13,4.17503917329991e-109,0.547693219112779,1,0.997,5.7256487222635e-105,0,RPL13,Up,Highly,Up_Highly
RPL30,6.80275813022728e-108,0.665329805749205,0.997,0.979,9.3293024997937e-104,0,RPL30,Up,Highly,Up_Highly
RPS15A,7.49056226477541e-106,0.630554812569921,0.997,0.982,1.0272557089913e-101,0,RPS15A,Up,Highly,Up_Highly
RPS3A,1.08158310542846e-104,0.766742004926072,0.996,0.974,1.48328307078459e-100,0,RPS3A,Up,Highly,Up_Highly
LDHB,3.03565530121681e-104,0.998848517302813,0.895,0.592,4.16309768008873e-100,0,LDHB,Up,Highly,Up_Highly
HLA-DRA,3.7009426056624e-103,-3.70179913079246,0.259,0.66,5.07547268940542e-99,0,HLA-DRA,Down,Highly,Down_Highly
RPLP2,6.67972930753163e-102,0.591825844284948,1,0.989,9.16058077234888e-98,0,RPLP2,Up,Highly,Up_Highly
HLA-DPA1,1.24651011138334e-101,-2.83642454600649,0.164,0.605,1.70946396675111e-97,0,HLA-DPA1,Down,Highly,Down_Highly
RPL21,1.79639857651683e-101,0.632370150051402,0.99,0.991,2.46358100783517e-97,0,RPL21,Up,Highly,Up_Highly
RPL3,2.77485265700855e-101,0.560914254214557,0.996,0.995,3.80543293382153e-97,0,RPL3,Up,Highly,Up_Highly
RPS27A,8.09338253293562e-101,0.736176739915232,0.996,0.964,1.10992648056679e-96,0,RPS27A,Up,Highly,Up_Highly
HLA-DPB1,1.0229899711933e-98,-2.867744658148,0.201,0.623,1.40292844649449e-94,0,HLA-DPB1,Down,Highly,Down_Highly
MALAT1,1.08958794788995e-93,0.679555008934317,1,1,1.49426091173627e-89,0,MALAT1,Up,Highly,Up_Highly
RPL27A,1.86525177514889e-92,0.544632813620212,0.999,0.987,2.55800628443918e-88,0,RPL27A,Up,Highly,Up_Highly
RPL35A,1.3247235940025e-90,0.573369069240974,0.999,0.977,1.81672593681503e-86,0,RPL35A,Up,Highly,Up_Highly
RPS13,5.99146435413716e-90,0.667024939663421,0.986,0.956,8.2166942152637e-86,0,RPS13,Up,Highly,Up_Highly
HLA-DRB5,2.00492889354719e-89,-2.4745870034701,0.033,0.457,2.74955948461062e-85,0,HLA-DRB5,Down,Highly,Down_Highly
RPS18,5.65891226953233e-89,0.503140270212392,1,0.995,7.76063228643664e-85,0,RPS18,Up,Highly,Up_Highly
