,Class,color,shape,label,avgx,avgy,sdx,sdy
1,Her2_TCGA,#B2DF8A,closed,HT,7.68632139695026,-1.23985690499364,5.07587335184433,7.65725399645357
2,Normal_TCGA,#CAB2D6,closed,NT,-2.1194024687776,-13.2923374081308,8.13832907361496,7.91491476002138
3,Basal_TCGA,#A6CEE3,closed,BT,18.8795921133581,-2.7672801733372,5.51968611009479,8.19903069459879
4,LumA_TCGA,#FB9A99,closed,LaT,-7.35340519120405,-0.298383263927275,5.36488683341047,9.71366027138495
5,LumB_TCGA,#FDBF6F,closed,LbT,2.61525787049562,7.08286046719771,5.4304157153627,8.64395225838243
6,LumB_Yau,#FF7F00,opened,LbY,1.01244425051718,11.6164761693618,7.39350539340795,8.5677304388562
7,Basal_Yau,#1F78B4,opened,BY,19.1704436614113,-5.40136983995651,9.68343274626573,8.13984483734171
8,Her2_Yau,#33A02C,opened,HY,7.26002136512368,-1.61402158830877,7.11307435109441,8.06864152661745
9,Normal_Yau,#6A3D9A,opened,NY,-13.4266025850246,-11.5629926576089,9.60002653481505,7.88327813378802
10,LumA_Yau,#E31A1C,opened,LaY,-16.2304290277101,0.787352011123952,8.38242440625117,10.812892254641
